elapsed_host_seconds,touch_state,serial_message
35.060,0,No touch detected...
35.060,0,No touch detected...
35.060,0,No touch detected...
35.263,0,No touch detected...
35.263,0,No touch detected...
35.263,0,No touch detected...
35.263,0,No touch detected...
35.466,0,No touch detected...
35.466,0,No touch detected...
35.466,0,No touch detected...
35.466,0,No touch detected...
35.670,0,No touch detected...
35.670,0,No touch detected...
35.670,0,No touch detected...
35.670,0,No touch detected...
35.870,0,No touch detected...
35.870,0,No touch detected...
35.870,0,No touch detected...
35.870,0,No touch detected...
36.075,0,No touch detected...
36.075,0,No touch detected...
36.075,0,No touch detected...
36.075,0,No touch detected...
36.280,0,No touch detected...
36.280,0,No touch detected...
36.280,0,No touch detected...
36.280,0,No touch detected...
36.482,0,No touch detected...
36.482,0,No touch detected...
36.482,0,No touch detected...
36.482,0,No touch detected...
36.688,0,No touch detected...
36.688,0,No touch detected...
36.688,0,No touch detected...
36.688,0,No touch detected...
36.891,0,No touch detected...
36.891,0,No touch detected...
36.891,0,No touch detected...
36.891,0,No touch detected...
37.096,0,No touch detected...
37.096,0,No touch detected...
37.097,0,No touch detected...
37.097,0,No touch detected...
37.300,0,No touch detected...
37.300,0,No touch detected...
37.300,0,No touch detected...
37.300,0,No touch detected...
37.502,0,No touch detected...
37.502,0,No touch detected...
37.502,0,No touch detected...
37.502,0,No touch detected...
37.502,0,No touch detected...
37.702,0,No touch detected...
37.702,0,No touch detected...
37.703,0,No touch detected...
37.703,0,No touch detected...
37.903,0,No touch detected...
37.903,0,No touch detected...
37.903,0,No touch detected...
37.903,0,No touch detected...
38.103,0,No touch detected...
38.103,0,No touch detected...
38.103,0,No touch detected...
38.103,0,No touch detected...
38.304,0,No touch detected...
38.304,0,No touch detected...
38.304,0,No touch detected...
38.304,0,No touch detected...
38.505,0,No touch detected...
38.505,0,No touch detected...
38.505,0,No touch detected...
38.505,0,No touch detected...
38.706,0,No touch detected...
38.706,0,No touch detected...
38.706,0,No touch detected...
38.706,0,No touch detected...
38.907,0,No touch detected...
38.908,0,No touch detected...
38.908,0,No touch detected...
38.908,0,No touch detected...
39.109,0,No touch detected...
39.109,0,No touch detected...
39.109,0,No touch detected...
39.109,0,No touch detected...
39.311,0,No touch detected...
39.311,0,No touch detected...
39.311,0,No touch detected...
39.311,0,No touch detected...
39.514,0,No touch detected...
39.514,0,No touch detected...
39.514,0,No touch detected...
39.514,0,No touch detected...
39.717,0,No touch detected...
39.717,0,No touch detected...
39.717,0,No touch detected...
39.717,0,No touch detected...
39.921,0,No touch detected...
39.921,0,No touch detected...
39.921,0,No touch detected...
39.921,0,No touch detected...
40.122,0,No touch detected...
40.122,0,No touch detected...
40.122,0,No touch detected...
40.122,0,No touch detected...
40.327,0,No touch detected...
40.327,0,No touch detected...
40.327,0,No touch detected...
40.328,0,No touch detected...
40.533,0,No touch detected...
40.533,0,No touch detected...
40.533,0,No touch detected...
40.533,0,No touch detected...
40.733,0,No touch detected...
40.733,0,No touch detected...
40.733,0,No touch detected...
40.733,0,No touch detected...
40.935,0,No touch detected...
40.935,0,No touch detected...
40.935,0,No touch detected...
40.935,0,No touch detected...
41.136,0,No touch detected...
41.136,0,No touch detected...
41.136,0,No touch detected...
41.136,0,No touch detected...
41.342,0,No touch detected...
41.342,0,No touch detected...
41.342,0,No touch detected...
41.342,0,No touch detected...
41.547,0,No touch detected...
41.547,0,No touch detected...
41.547,0,No touch detected...
41.547,0,No touch detected...
41.749,0,No touch detected...
41.749,0,No touch detected...
41.749,0,No touch detected...
41.749,0,No touch detected...
41.952,0,No touch detected...
41.952,0,No touch detected...
41.952,0,No touch detected...
41.952,0,No touch detected...
41.952,0,No touch detected...
42.152,0,No touch detected...
